O tempo gasto para o vetor com 0 posições foi de 0 nanosegundos 
O tempo gasto para o vetor com 5000 posições foi de 70955700 nanosegundos 
O tempo gasto para o vetor com 10000 posições foi de 295818200 nanosegundos 
O tempo gasto para o vetor com 15000 posições foi de 675583800 nanosegundos 
O tempo gasto para o vetor com 20000 posições foi de 1209455900 nanosegundos 
O tempo gasto para o vetor com 25000 posições foi de 1906028300 nanosegundos 
O tempo gasto para o vetor com 30000 posições foi de -1531123896 nanosegundos 
O tempo gasto para o vetor com 35000 posições foi de -492881396 nanosegundos 
O tempo gasto para o vetor com 40000 posições foi de 659608304 nanosegundos 
O tempo gasto para o vetor com 45000 posições foi de 1975176704 nanosegundos 
O tempo gasto para o vetor com 50000 posições foi de -809585092 nanosegundos 
O tempo gasto para o vetor com 55000 posições foi de 872886508 nanosegundos 
O tempo gasto para o vetor com 60000 posições foi de -1578538488 nanosegundos 
O tempo gasto para o vetor com 65000 posições foi de 367133212 nanosegundos 
O tempo gasto para o vetor com 70000 posições foi de -1841786784 nanosegundos 
O tempo gasto para o vetor com 75000 posições foi de 564446016 nanosegundos 
O tempo gasto para o vetor com 80000 posições foi de -1283322080 nanosegundos 
O tempo gasto para o vetor com 85000 posições foi de 1420297620 nanosegundos 
O tempo gasto para o vetor com 90000 posições foi de -226361476 nanosegundos 
O tempo gasto para o vetor com 95000 posições foi de -1506429472 nanosegundos 
O tempo gasto para o vetor com 100000 posições foi de 1577478028 nanosegundos 
O tempo gasto para um vetor aleatorio com 0 posições foi de 0 nanosegundos 
O tempo gasto para um vetor aleatorio com 5000 posições foi de 69958800 nanosegundos 
O tempo gasto para um vetor aleatorio com 10000 posições foi de 288821200 nanosegundos 
O tempo gasto para um vetor aleatorio com 15000 posições foi de 751535400 nanosegundos 
O tempo gasto para um vetor aleatorio com 20000 posições foi de 1291378200 nanosegundos 
O tempo gasto para um vetor aleatorio com 25000 posições foi de 1919270500 nanosegundos 
O tempo gasto para um vetor aleatorio com 30000 posições foi de -1498361896 nanosegundos 
O tempo gasto para um vetor aleatorio com 35000 posições foi de -547825196 nanosegundos 
O tempo gasto para um vetor aleatorio com 40000 posições foi de 660622804 nanosegundos 
O tempo gasto para um vetor aleatorio com 45000 posições foi de 2002455904 nanosegundos 
O tempo gasto para um vetor aleatorio com 50000 posições foi de -826968092 nanosegundos 
O tempo gasto para um vetor aleatorio com 55000 posições foi de 889749408 nanosegundos 
O tempo gasto para um vetor aleatorio com 60000 posições foi de -1562015988 nanosegundos 
O tempo gasto para um vetor aleatorio com 65000 posições foi de 1074911212 nanosegundos 
O tempo gasto para um vetor aleatorio com 70000 posições foi de -979240484 nanosegundos 
O tempo gasto para um vetor aleatorio com 75000 posições foi de 543982316 nanosegundos 
O tempo gasto para um vetor aleatorio com 80000 posições foi de -1319412080 nanosegundos 
O tempo gasto para um vetor aleatorio com 85000 posições foi de -1105103976 nanosegundos 
O tempo gasto para um vetor aleatorio com 90000 posições foi de 445117224 nanosegundos 
O tempo gasto para um vetor aleatorio com 95000 posições foi de -936130072 nanosegundos 
O tempo gasto para um vetor aleatorio com 100000 posições foi de 1658916828 nanosegundos 
